,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Exited,Binned-Age
0,619,42,2,0.0,1,1,1,101348.88,1,2,464,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,41-60
1,608,41,1,83807.86,1,0,1,112542.58,1,3,456,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,41-60
2,502,42,8,159660.8,3,1,0,113931.57,1,3,377,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,41-60
3,699,39,1,0.0,2,0,0,93826.63,0,5,350,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
4,850,43,2,125510.82,1,1,1,79084.1,0,5,425,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,41-60
5,645,44,8,113755.78,2,1,0,149756.71,1,5,484,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,41-60
6,822,50,7,0.0,2,1,1,10062.8,0,2,206,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
7,376,29,4,115046.74,4,1,0,119346.88,1,2,282,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,21-40
8,501,44,4,142051.07,2,0,1,74940.5,0,3,251,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,41-60
9,684,27,2,134603.88,1,1,1,71725.73,0,3,342,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
10,528,31,6,102016.72,2,0,0,80181.12,0,3,264,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
11,497,24,3,0.0,2,1,0,76390.01,0,3,249,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
12,476,34,10,0.0,2,1,0,26260.98,0,3,119,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
13,549,25,5,0.0,2,0,0,190857.79,0,3,549,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
14,635,35,7,0.0,2,1,1,65951.65,0,2,318,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
15,616,45,3,143129.41,2,0,1,64327.26,0,5,308,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,41-60
16,653,58,1,132602.88,1,1,0,5097.67,0,2,163,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,41-60
17,549,24,9,0.0,2,1,1,14406.41,0,3,544,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
18,587,45,6,0.0,1,0,0,158684.81,0,3,732,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
19,726,24,6,0.0,2,1,1,54724.03,0,4,477,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
20,732,41,8,0.0,2,1,1,170886.17,0,3,568,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
21,636,32,8,0.0,2,1,0,138555.46,0,2,336,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,21-40
22,510,38,4,0.0,1,1,0,118913.53,1,2,887,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,21-40
23,669,46,3,0.0,2,0,1,8487.75,0,2,665,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
24,846,38,5,0.0,1,1,1,187616.16,0,3,225,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
25,577,25,3,0.0,2,0,1,124508.29,0,3,659,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,21-40
26,756,36,2,136815.64,1,1,1,170041.95,0,5,236,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
27,571,44,9,0.0,2,0,0,38433.35,0,4,448,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
28,574,43,3,141349.43,1,1,1,100187.43,0,5,499,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,41-60
29,411,29,0,59697.17,2,1,1,53483.21,0,2,343,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
30,591,39,3,0.0,3,1,0,140469.38,1,3,298,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,21-40
31,533,36,7,85311.7,1,0,1,156731.91,0,5,628,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
32,553,41,9,110112.54,2,0,0,81898.81,0,3,611,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,41-60
33,520,42,6,0.0,2,1,1,34410.55,0,2,922,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,41-60
34,722,29,9,0.0,2,1,1,142033.07,0,5,276,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,21-40
35,475,45,0,134264.04,1,1,0,27822.99,1,1,877,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,41-60
36,490,31,3,145260.23,1,0,1,114066.77,0,4,471,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
37,804,33,7,76548.6,1,0,1,98453.45,0,2,994,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
38,850,36,7,0.0,1,1,1,40812.9,0,3,944,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,21-40
39,582,41,6,70349.48,2,0,1,178074.04,0,5,419,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,41-60
40,472,40,4,0.0,1,1,0,70154.22,0,4,545,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
41,465,51,8,122522.32,1,0,0,181297.65,1,5,828,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,41-60
42,556,61,2,117419.35,1,1,1,94153.83,0,3,789,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,61-80
43,834,49,2,131394.56,1,0,0,194365.76,1,2,567,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,41-60
44,660,61,5,155931.11,1,1,1,158338.39,0,1,884,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0,61-80
45,776,32,4,109421.13,2,1,1,126517.46,0,1,296,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
46,829,27,9,112045.67,1,1,1,119708.21,1,3,779,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1,21-40
47,637,39,9,137843.8,1,1,1,117622.8,1,1,730,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,21-40
48,550,38,2,103391.38,1,0,1,90878.13,0,3,960,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,21-40
49,776,37,2,103769.22,2,1,0,194099.12,0,1,268,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21-40
50,698,44,10,116363.37,2,1,0,198059.16,0,4,829,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
51,585,36,5,146050.97,2,0,0,86424.57,0,3,665,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,21-40
52,788,33,5,0.0,2,0,0,116978.19,0,3,982,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,21-40
53,655,41,8,125561.97,1,0,0,164040.94,1,3,343,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,41-60
54,601,42,1,98495.72,1,1,0,40014.76,1,2,225,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,41-60
55,619,43,1,125211.92,1,1,1,113410.49,0,5,657,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,41-60
56,656,45,5,127864.4,1,1,0,87107.57,0,2,221,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,41-60
