,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Card Type_DIAMOND,Card Type_GOLD,Card Type_PLATINUM,Card Type_SILVER,Exited
0,686,1,32,6,0.0,2,1,1,179093.26,0,2,510,1,0,0,1,0,0,0,0
1,632,1,42,4,119624.6,2,1,1,195978.86,0,4,959,0,1,0,0,0,1,0,0
2,559,1,24,3,114739.92,1,1,0,85891.02,1,4,327,0,0,1,0,0,0,1,1
3,561,0,27,9,135637.0,1,1,0,153080.4,1,2,567,1,0,0,0,0,0,1,1
4,517,1,56,9,142147.32,1,0,0,39488.04,1,3,727,1,0,0,0,0,1,0,1
5,569,1,41,4,120243.49,1,1,0,163150.03,1,5,399,1,0,0,0,0,1,0,1
6,683,0,40,1,0.0,2,0,0,75762.0,0,3,288,1,0,0,0,1,0,0,0
7,759,0,45,8,0.0,2,1,1,99251.24,0,1,292,1,0,0,1,0,0,0,0
8,426,0,34,3,0.0,2,1,1,61230.83,0,4,353,1,0,0,1,0,0,0,0
9,601,1,74,2,0.0,2,0,1,51554.58,0,5,564,1,0,0,1,0,0,0,0
10,735,0,53,8,123845.36,2,0,1,170454.93,1,5,415,1,0,0,1,0,0,0,1
11,667,0,39,2,0.0,2,1,0,40721.24,1,5,308,0,0,1,0,0,1,0,1
12,741,1,32,5,0.0,1,1,1,64839.23,0,3,485,1,0,0,0,0,0,1,0
13,511,0,30,5,0.0,2,1,0,143994.86,0,4,248,1,0,0,0,0,0,1,0
14,508,0,41,5,0.0,2,1,1,94170.84,0,3,821,1,0,0,0,0,1,0,0
15,529,0,31,7,0.0,2,1,1,175697.87,0,3,578,1,0,0,0,0,0,1,0
16,673,0,44,8,133444.97,1,0,1,5708.19,0,4,276,1,0,0,0,0,1,0,0
17,515,1,40,10,121355.99,1,1,0,138360.29,0,5,870,0,0,1,0,1,0,0,0
18,850,1,49,8,98649.55,1,1,0,119174.88,1,5,568,0,1,0,0,0,1,0,1
